case_id,diameter_mm,depth_mm,is_healthy,snr_db,noise_seed,method_name,is_detected,iou,dice,precision,recall,localization_error_mm,diameter_error_mm,area_error_mm2,cnr,defect_contrast,is_false_positive,specificity,runtime_s
23,12,0.6,0,30,1004,SPCT,1,0.671875,0.803738317757009,1,0.671875,0.11264816921128,2.17352490767638,37.2595930248234,1.48887025810746,0.103950011960556,0,1,0.3354432
23,12,0.6,0,30,1004,RPT,1,0.756410256410256,0.861313868613139,0.808219178082192,0.921875,0.58620265940793,0.803389567578016,15.6504598852295,1.53774749894199,2.03968263014813,0,1,0.0041381
23,12,0.6,0,30,1005,Raw Contrast,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.79661777241939,0.566742111032041,0,1,0.0124665
23,12,0.6,0,30,1005,Matched Filter,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.74646955153747,0.945942450476997,0,1,0.0141234
23,12,0.6,0,30,1005,PCT,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.67230578906312,0.106376786617624,0,1,0.0837654
23,12,0.6,0,30,1005,SPCT,1,0.640625,0.780952380952381,1,0.640625,0.118143201855724,2.40476847796526,40.7869298854936,1.4813591938662,0.103788322059037,0,1,0.2439732
23,12,0.6,0,30,1005,RPT,1,0.808219178082192,0.893939393939394,0.867647058823529,0.921875,0.670568740533301,0.357140545961569,6.83211773355404,1.52448187498926,2.04347863992839,0,1,0.0049028
23,12,0.6,0,30,1006,Raw Contrast,1,0.71875,0.836363636363636,1,0.71875,0.172532781228433,1.83651979349754,31.9685877338181,1.73954623804375,0.57375708316096,0,1,0.0133326
23,12,0.6,0,30,1006,Matched Filter,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.75961674000347,0.946951657266093,0,1,0.0069134
23,12,0.6,0,30,1006,PCT,1,0.703125,0.825688073394495,1,0.703125,0.123469387112433,1.94759941513154,33.7322561641532,1.67894079697731,0.106453774782162,0,1,0.0457536
23,12,0.6,0,30,1006,SPCT,1,0.671875,0.803738317757009,1,0.671875,0.112648169211274,2.17352490767638,37.2595930248234,1.48795205823087,0.103928398337003,0,1,0.1368381
23,12,0.6,0,30,1006,RPT,1,0.741176470588235,0.851351351351351,0.75,0.984375,0.153468938051752,1.73419384971341,35.0508126189156,1.54611754570032,2.02904819220854,0,1,0.0026861
23,12,0.6,0,30,1007,Raw Contrast,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.7093770460378,0.56896161189859,0,1,0.0083382
23,12,0.6,0,30,1007,Matched Filter,1,0.671875,0.803738317757009,1,0.671875,0.112648169211274,2.17352490767638,37.2595930248234,1.76616337268396,0.939103384323632,0,1,0.0192171
23,12,0.6,0,30,1007,PCT,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.67822123462336,0.106398254311881,0,1,0.0677652
23,12,0.6,0,30,1007,SPCT,1,0.703125,0.825688073394495,1,0.703125,0.123469387112428,1.94759941513154,33.7322561641532,1.48540332797557,0.103866987099932,0,1,0.1603424
23,12,0.6,0,30,1007,RPT,1,0.719101123595506,0.836601307189543,0.719101123595506,1,0.48949188951163,2.13704150973689,43.8691547705911,1.64750858491872,2.03122070043108,0,1,0.0046925
23,12,0.6,0,30,1008,Raw Contrast,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.69918417100853,0.569711324602569,0,1,0.0089579
23,12,0.6,0,30,1008,Matched Filter,1,0.703125,0.825688073394495,1,0.703125,0.123469387112433,1.94759941513154,33.7322561641532,1.79660652374621,0.945091487697072,0,1,0.0161082
23,12,0.6,0,30,1008,PCT,1,0.703125,0.825688073394495,1,0.703125,0.123469387112428,1.94759941513154,33.7322561641532,1.6869378587063,0.106537489084341,0,1,0.2215467
23,12,0.6,0,30,1008,SPCT,1,0.671875,0.803738317757009,1,0.671875,0.11264816921128,2.17352490767638,37.2595930248234,1.49521867181227,0.104072466970219,0,1,0.3098382
23,12,0.6,0,30,1008,RPT,1,0.703296703296703,0.825806451612903,0.703296703296703,1,0.549506612972903,2.29500218351264,47.3964916312613,1.59436051124595,1.99029156277278,0,1,0.0038907
